period,SUN,TRX,JST,WBTT,WIN,BTCST,YFX,NFT
20210308-20210315,55097.0,31499944.0,20999930.0,671999930.0,2519999951.0,0.0,0.0,0.0
20210315-20210322,55097.0,31499944.0,20999930.0,671999930.0,2519999951.0,0.0,0.0,0.0
20210322-20210329,55258.0,31562104.0,21052850.0,673581573.0,2526334545.0,664.37,0.0,0.0
20210329-20210405,55258.0,31562104.0,21052850.0,673581573.0,2526334545.0,664.37,0.0,0.0
20210405-20210412,14938.0,12622379.0,6333005.0,127184386.0,634348722.0,621.11,0.0,0.0
20210412-20210419,14777.0,12560219.0,6280085.0,125602743.0,628014128.0,0.0,0.0,0.0
20210419-20210426,15813.0,13602771.0,6801361.0,136028270.0,680141784.0,0.0,0.0,0.0
20210426-20210503,15813.0,13602771.0,6801361.0,136028270.0,680141784.0,0.0,0.0,0.0
20210503-20210510,20034.0,10202087.0,6801361.0,102021199.0,285659521.0,0.0,0.0,0.0
20210510-20210517,20034.0,10202087.0,6801361.0,102021199.0,285659521.0,0.0,0.0,0.0
20210517-20210524,20034.0,10202087.0,6801361.0,102021199.0,285659521.0,0.0,0.0,0.0
20210524-20210531,20783.0,10499958.0,6999937.0,104999916.0,293999944.0,0.0,0.0,0.0
20210531-20210607,22253.0,11323529.0,7573286.0,113319003.0,317679054.0,0.0,72296.0,157481814518.0
